nba,lakers__rockets,2026-05-02T01:40:00Z,rockets,draftkings,1.62,lakers,bovada,2.65,0.9946,0.54%,20260430_071025
sport,game_id,commence_time,team_a,sportsbook_a,odds_a,team_b,sportsbook_b,odds_b,probability,profit_margin,time
nba,lakers__rockets,2026-05-02T01:40:00Z,rockets,draftkings,1.62,lakers,bovada,2.65,0.9946,0.54%,20260430_071155
sport,game_id,commence_time,team_a,sportsbook_a,odds_a,team_b,sportsbook_b,odds_b,probability,profit_margin,time
nba,lakers__rockets,2026-05-02T01:40:00Z,rockets,draftkings,1.62,lakers,bovada,2.65,0.9946,0.54%,20260430_071326
sport,game_id,commence_time,team_a,sportsbook_a,odds_a,team_b,sportsbook_b,odds_b,probability,profit_margin,time
nba,lakers__rockets,2026-05-02T01:40:00Z,rockets,draftkings,1.62,lakers,bovada,2.65,0.9946,0.54%,20260430_071456
sport,game_id,commence_time,team_a,sportsbook_a,odds_a,team_b,sportsbook_b,odds_b,probability,profit_margin,time
nba,lakers__rockets,2026-05-02T01:40:00Z,rockets,draftkings,1.62,lakers,bovada,2.7,0.9877,1.23%,20260430_071627
sport,game_id,commence_time,team_a,sportsbook_a,odds_a,team_b,sportsbook_b,odds_b,probability,profit_margin,time
nba,lakers__rockets,2026-05-02T01:40:00Z,rockets,draftkings,1.62,lakers,bovada,2.7,0.9877,1.23%,20260430_071758
sport,game_id,commence_time,team_a,sportsbook_a,odds_a,team_b,sportsbook_b,odds_b,probability,profit_margin,time
nba,lakers__rockets,2026-05-02T01:40:00Z,rockets,draftkings,1.62,lakers,bovada,2.7,0.9877,1.23%,20260430_071928
sport,game_id,commence_time,team_a,sportsbook_a,odds_a,team_b,sportsbook_b,odds_b,probability,profit_margin,time
nba,lakers__rockets,2026-05-02T01:40:00Z,rockets,draftkings,1.62,lakers,bovada,2.7,0.9877,1.23%,20260430_072059
sport,game_id,commence_time,team_a,sportsbook_a,odds_a,team_b,sportsbook_b,odds_b,probability,profit_margin,time
nba,lakers__rockets,2026-05-02T01:40:00Z,rockets,draftkings,1.62,lakers,bovada,2.7,0.9877,1.23%,20260430_072230
sport,game_id,commence_time,team_a,sportsbook_a,odds_a,team_b,sportsbook_b,odds_b,probability,profit_margin,time
nba,lakers__rockets,2026-05-02T01:40:00Z,rockets,draftkings,1.62,lakers,bovada,2.7,0.9877,1.23%,20260430_072400
sport,game_id,commence_time,team_a,sportsbook_a,odds_a,team_b,sportsbook_b,odds_b,probability,profit_margin,time
nba,lakers__rockets,2026-05-02T01:40:00Z,rockets,draftkings,1.62,lakers,bovada,2.7,0.9877,1.23%,20260430_072531
